coef,Estimate,Std..Error,z.value,Pr...z..,target,adj.p,log2fc,fcthreshold
mm_rank,24.023114852971837,0.9088932843300165,26.431172137750238,6.006920797308201e-154,ACOXL-AS1-203,4.324982974061905e-152,34.658028665088466,s
mm_rank,4.01533877607371,0.05099618831718377,78.73801765534492,0,ACVR2B-AS1-201,0,5.792909339730701,s
mm_rank,3.1330551773992563,0.4151992772837806,7.545907107294588,4.4915012174437904e-14,ADIRF-AS1-201,6.369765362920284e-13,4.520043167265399,s
mm_rank,4.961639619519812,0.4231384917892928,11.725805417840654,9.400265950086979e-32,ALOX12-AS1-206,2.080761571113848e-30,7.1581328737594365,s
mm_rank,0.3750823910967432,0.15962425932432298,2.349783126226788,0.01878435219845952,C10orf71-AS1-201,0.06539589564522146,0.5411295055600461,s
mm_rank,11.988373468730376,0.31253079427656066,38.3590151379508,0,CA5BP1-204,0,17.295566951662135,s
mm_rank,7.75744215961644,3.673410652761903,2.1117819086695095,0.0347051597218495,CARD8-AS1-201,0.1083316848487651,11.191623333661608,s
mm_rank,10.50203937344087,2.579607004899183,4.071178033512633,4.6775981496459294e-5,CARMN-210,3.166076764099187e-4,15.15124012328378,s
mm_rank,12.870638523934451,5.948491940720629,2.1636809215169315,0.03048884621592049,CARMN-211,0.0976358359759096,18.56840637155468,s
mm_rank,30.453744086566736,6.12592176131235,4.971291713011147,6.650829046149073e-7,CBLL1-AS1-205,6.251970144959645e-6,43.935465570191425,s
mm_rank,1.8395025306413264,0.3436290209914393,5.353164075996809,8.64294114552496e-8,CHASERR-209,8.820646477489025e-7,2.65384117865894,s
mm_rank,-4.684257120871413,2.3578653050885188,-1.9866517017584926,0.04696100754083286,CROCCP2-205,0.13948302484341873,-6.757954518530002,s
mm_rank,-5.315997990949799,0.44613137499105215,-11.915768065082666,9.795927987702627e-33,CRYZL2P-SEC16B-201,2.205598631457994e-31,-7.669363938918968,s
mm_rank,-2.913212793585171,0.20413064275782083,-14.27131543911017,3.3028908453178397e-46,DANCR-201,8.869074105951838e-45,-4.20287765035961,s
mm_rank,8.674575857555316,0.37708642013306304,23.00421175202837,4.230106714329628e-117,DNAJC3-DT-205,2.3096382660239767e-115,12.514767571510182,s
mm_rank,-7.1614655396504325,1.663153722405295,-4.305955272308407,1.6626665223035378e-5,DNAJC9-AS1-201,1.2421654565715826e-4,-10.331810819550883,s
mm_rank,0.7184094050379133,0.32956587772967666,2.179865858646877,0.029267406343808988,EBLN3P-204,0.0945096334966173,1.0364456859761881,s
mm_rank,12.396555159487841,0.3797396245919999,32.64488179975149,9.472020995619926e-234,EDRF1-AS1-205,9.403133570197235e-232,17.8844486526996,s
mm_rank,9.948360814059757,1.0286533528774935,9.671247156518575,3.9947978298805765e-22,EIF2AK3-DT-202,7.23036336502142e-21,14.352450811418104,s
mm_rank,-0.4911681236292087,0.16690401519320358,-2.9428179008194966,0.003252396667922911,EMSY-DT-205,0.0141123860716761,-0.7086058162025967,s
mm_rank,3.8671976820861347,0.6890914023876866,5.612024281084308,1.999733694682848e-8,FAM106A-201,2.130447994725532e-7,5.579186918082961,s
mm_rank,6.058155151721988,1.4977406869286705,4.0448625083058225,5.235384040793629e-5,FGD5-AS1-208,3.503803496964234e-4,8.740070394325238,s
mm_rank,12.53300604513515,0.8170809543058556,15.33875680137773,4.2118402361096325e-53,FGF14-AS2-201,1.2374877680264714e-51,18.08130566874788,s
mm_rank,4.994543906405969,2.020900998104086,2.4714441286790465,0.013456857723806372,FGGY-DT-212,0.0491361913946557,7.2056037252740825,s
mm_rank,-22.092423198533343,4.7427470786839745,-4.6581491342489185,3.190650428528382e-6,FTX-251,2.7414782981619772e-5,-31.872629389744347,s
mm_rank,34.85821085504035,0.6912803742801218,50.4255757171475,0,GARS1-DT-234,0,50.28976793482855,s
mm_rank,10.834466572570081,1.87549008001071,5.776872236246758,7.610202830877473e-9,GAS8-AS1-201,8.228060882493268e-8,15.6308311949241,s
mm_rank,9.740427028867717,0.4375467968130286,22.261452031678274,8.737125395298317e-110,GEMIN7-AS1-203,4.5796516471995654e-108,14.052465770688277,s
mm_rank,19.86197657785404,0.3491478785544559,56.887003467088824,0,GPR155-DT-204,0,28.65477511112277,s
mm_rank,5.103475947370608,0.21080120633551466,24.209899156116933,1.7500013205891366e-129,GUSBP11-210,1.0715895936915909e-127,7.3627594405676815,s
mm_rank,1.7009986210843573,0.19228774016884617,8.846110623541186,9.062242634115536e-19,HCG11-201,1.4993892358263888e-17,2.4540222751973673,s
mm_rank,3.6289496736001885,0.14332692100448557,25.31938625463542,1.9540856666909264e-141,HCP5-201,1.280316928815895e-139,5.235467697738614,s
mm_rank,3.764530352358021,0.36595278500960093,10.28692909731308,8.070943103167998e-25,IL10RB-DT-201,1.5599061714441512e-23,5.431069270622899,s
mm_rank,3.7000805567638366,0.17602485904124748,21.02021599061077,4.2847937780307995e-98,ILF3-DT-201,2.064262414239544e-96,5.338087870132862,s
mm_rank,9.464419884520568,2.062095053005618,4.589710775323209,4.4386059739749075e-6,INTS9-AS1-202,3.718893394051611e-5,13.65427163228872,s
mm_rank,9.10480742859561,1.9546486459429544,4.65802764476032,3.192533488244183e-6,ITGB2-AS1-208,2.7414782981619772e-5,13.135460525483882,s
mm_rank,-0.8878181353771132,0.18131233878967298,-4.896622818411743,9.74977207460241e-7,KIAA1671-AS1-201,8.997254455323239e-6,-1.2808508211198475,s
mm_rank,-14.262716113777994,6.703419700054874,-2.127677626042308,0.03336382120869611,LGALS17A-203,0.10488916965443022,-20.57674980695462,s
